Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,signature global park 4,sector 36,0.82,7586.0,3,2,2,2.0,New Property,850.0,0,0,0,0,0,1,8
1,flat,smart world gems,sector 89,0.95,8597.0,2,2,2,4.0,New Property,1226.0,1,1,0,0,0,1,38
3,flat,breez global hill view,sohna road,0.32,5470.0,2,2,1,17.0,New Property,1000.0,0,0,0,0,0,1,49
4,flat,bestech park view sanskruti,sector 92,1.6,8020.0,3,4,3+,10.0,Relatively New,1615.0,0,1,0,0,1,2,174
5,flat,suncity avenue,sector 102,0.48,9023.0,2,2,1,5.0,Relatively New,582.0,0,0,1,0,0,1,159
6,flat,paras quartier,gwal pahari,7.5,14019.0,4,4,3+,20.0,New Property,4842.0,0,1,0,1,1,2,49
7,flat,experion the heartsong,sector 108,2.0,8554.0,3,3,3+,14.0,Relatively New,2116.0,0,1,0,0,0,1,95
8,flat,adani m2k oyster grande,sector 102,1.9,9104.0,3,4,3,8.0,Relatively New,1710.0,0,1,0,0,0,1,165
9,house,independent,sector 105,1.2,10118.0,3,2,1,2.0,Old Property,1185.51,0,0,0,0,0,1,9
10,house,dlf city phase 1,sector 26,4.5,33333.0,3,3,2,2.0,Moderately Old,1350.0,1,1,0,0,0,1,70
11,house,independent,sector 109,1.55,6568.0,3,2,0,1.0,Relatively New,2360.0,0,0,0,0,0,1,0
12,flat,dlf regency park,sector 28,1.6,14545.0,2,2,2,3.0,Relatively New,1222.0,0,0,0,0,0,1,52
13,flat,ats tourmaline,sector 109,2.25,8704.0,3,4,3,14.0,Relatively New,2339.0,0,1,0,0,0,1,101
14,flat,emaar mgf emerald floors premier,sector 65,2.77,14025.0,4,4,3+,3.0,Relatively New,2194.0,1,1,0,0,0,0,174
15,house,independent,sector 12,1.2,14184.0,2,4,2,2.0,Relatively New,846.0,0,0,0,1,0,2,7
16,flat,bestech park view sanskruti,sector 92,1.55,7568.0,3,4,3,16.0,Relatively New,1805.0,0,1,0,0,0,2,60
17,flat,ss the leaf,sector 85,1.09,6667.0,2,2,3,9.0,Relatively New,1638.0,0,0,1,0,0,1,174
18,flat,capital residences 360,sector 70a,1.15,11500.0,2,2,3,4.0,New Property,1400.0,0,0,0,1,0,1,132
20,flat,ss the leaf,sector 85,1.77,7350.0,3,4,3+,7.0,New Property,2179.0,0,0,1,0,0,1,107
21,flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,2,2,1,2.0,Old Property,734.0,0,0,0,0,1,2,49
22,flat,m3m woodshire,sector 107,0.9,6589.0,2,2,3+,10.0,Relatively New,1236.0,0,0,0,0,1,2,49
23,flat,godrej habitat,sector 3,1.2,8310.0,2,2,3,0.0,Under Construction,1307.0,0,0,0,0,0,1,60
24,flat,ansal api celebrity suites,sector 2,0.6,8163.0,1,1,1,5.0,Moderately Old,665.0,0,0,0,0,0,2,88
25,house,independent,sector 41,9.0,27778.0,8,5,3+,3.0,Old Property,3240.0,0,1,1,1,0,2,26
26,house,independent,sector 41,7.0,28283.0,7,7,3+,3.0,Moderately Old,2475.0,1,1,1,1,0,0,151
27,flat,chanderlok society,sector 28,0.9,7235.0,4,2,3+,1.0,Old Property,1382.0,0,0,0,0,0,1,0
28,house,independent,sector 4,0.4,8889.0,1,1,0,1.0,Moderately Old,450.0,0,0,0,0,0,1,0
29,house,international city by sobha phase 2,sector 109,5.65,10463.0,4,4,3+,2.0,New Property,5400.0,0,1,0,0,1,2,44
30,flat,emaar digihomes,sector 62,2.15,14257.0,2,2,3,31.0,Under Construction,1676.0,0,0,0,0,0,1,101
31,house,uppal southend,sector 49,4.4,15278.0,6,6,3,3.0,Moderately Old,2880.0,1,1,1,1,0,0,110
32,flat,vipul lavanya,sector 81,0.64,5263.0,2,2,3,12.0,Relatively New,1361.0,0,0,0,0,0,2,93
33,flat,m3m heights,sector 65,2.86,13999.0,3,3,3,45.0,Under Construction,2267.0,0,1,0,0,0,1,48
