Unnamed: 0,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,0.0,40.0,3,2,2.0,1.0,850.0,0,0,1,1.0,1.0,0.82
1,0.0,101.0,2,2,2.0,1.0,1226.0,1,0,1,1.0,2.0,0.95
3,0.0,111.0,2,2,1.0,1.0,1000.0,0,0,1,1.0,0.0,0.32
4,0.0,105.0,3,4,4.0,3.0,1615.0,1,0,2,0.0,2.0,1.6
5,0.0,4.0,2,2,1.0,3.0,582.0,0,1,1,0.0,2.0,0.48
6,0.0,1.0,4,4,4.0,1.0,4842.0,1,0,2,1.0,0.0,7.5
7,0.0,10.0,3,3,4.0,3.0,2116.0,1,0,1,2.0,0.0,2.0
8,0.0,4.0,3,4,3.0,3.0,1710.0,1,0,1,0.0,2.0,1.9
9,1.0,7.0,3,2,1.0,2.0,1185.51,0,0,1,1.0,1.0,1.2
10,1.0,31.0,3,3,2.0,0.0,1350.0,1,0,1,2.0,1.0,4.5
11,1.0,11.0,3,2,0.0,3.0,2360.0,0,0,1,1.0,1.0,1.55
12,0.0,33.0,2,2,2.0,3.0,1222.0,0,0,1,2.0,2.0,1.6
13,0.0,11.0,3,4,3.0,3.0,2339.0,1,0,1,2.0,0.0,2.25
14,0.0,73.0,4,4,4.0,3.0,2194.0,1,0,0,0.0,2.0,2.77
15,1.0,18.0,2,4,2.0,3.0,846.0,0,0,2,1.0,1.0,1.2
16,0.0,105.0,3,4,3.0,3.0,1805.0,1,0,2,2.0,0.0,1.55
17,0.0,97.0,2,2,3.0,3.0,1638.0,0,1,1,0.0,2.0,1.09
18,0.0,81.0,2,2,3.0,1.0,1400.0,0,0,1,2.0,2.0,1.15
20,0.0,97.0,3,4,4.0,1.0,2179.0,0,1,1,2.0,2.0,1.77
21,0.0,37.0,2,2,1.0,2.0,734.0,0,0,2,1.0,1.0,0.85
22,0.0,9.0,2,2,4.0,3.0,1236.0,0,0,2,1.0,2.0,0.9
23,0.0,34.0,2,2,3.0,4.0,1307.0,0,0,1,2.0,1.0,1.2
24,0.0,25.0,1,1,1.0,0.0,665.0,0,0,2,2.0,2.0,0.6
25,1.0,49.0,8,5,4.0,2.0,3240.0,1,1,2,1.0,2.0,9.0
26,1.0,49.0,7,7,4.0,0.0,2475.0,1,1,0,0.0,2.0,7.0
27,0.0,33.0,4,2,4.0,2.0,1382.0,0,0,1,1.0,1.0,0.9
28,1.0,47.0,1,1,0.0,0.0,450.0,0,0,1,1.0,1.0,0.4
29,1.0,11.0,4,4,4.0,1.0,5400.0,1,0,2,1.0,1.0,5.65
30,0.0,70.0,2,2,3.0,4.0,1676.0,0,0,1,2.0,0.0,2.15
31,1.0,55.0,6,6,3.0,0.0,2880.0,1,1,0,2.0,2.0,4.4
32,0.0,92.0,2,2,3.0,3.0,1361.0,0,0,2,2.0,0.0,0.64
33,0.0,73.0,3,3,3.0,4.0,2267.0,1,0,1,1.0,0.0,2.86
34,0.0,74.0,3,3,3.0,0.0,2125.0,1,1,2,2.0,2.0,3.5
35,1.0,101.0,2,2,2.0,1.0,1297.0,0,0,1,1.0,0.0,0.7
36,0.0,98.0,3,3,4.0,3.0,1780.0,1,0,1,0.0,0.0,1.54
39,1.0,54.0,4,4,4.0,3.0,2160.0,1,1,2,0.0,2.0,8.25
40,1.0,11.0,5,6,4.0,0.0,2430.0,1,0,1,1.0,1.0,6.1
41,0.0,58.0,4,4,3.0,3.0,2300.0,0,0,1,2.0,1.0,2.1
42,0.0,43.0,3,3,3.0,3.0,1563.0,0,0,1,1.0,1.0,1.25
43,0.0,15.0,2,2,2.0,3.0,773.0,0,0,1,2.0,2.0,0.7
44,0.0,75.0,3,3,3.0,0.0,2047.0,1,0,0,1.0,2.0,2.8
45,1.0,33.0,4,3,3.0,2.0,1800.0,0,0,2,1.0,1.0,5.5
46,0.0,15.0,3,4,2.0,0.0,2200.0,1,0,1,2.0,2.0,2.58
47,0.0,17.0,3,3,4.0,3.0,2460.0,1,0,1,0.0,2.0,3.0
48,1.0,19.0,3,6,2.0,2.0,115.0,0,0,1,1.0,2.0,1.25
49,0.0,69.0,3,2,3.0,4.0,1534.0,0,0,1,2.0,2.0,2.1
50,0.0,17.0,3,3,3.0,3.0,2014.0,0,0,1,2.0,2.0,2.45
51,0.0,78.0,3,3,1.0,3.0,1709.0,0,0,1,0.0,0.0,1.38
52,0.0,101.0,3,2,0.0,1.0,1423.0,0,0,1,1.0,2.0,1.71
53,0.0,76.0,3,4,3.0,1.0,1941.0,0,1,2,0.0,2.0,1.85
54,0.0,44.0,2,2,3.0,1.0,625.0,0,0,1,1.0,2.0,0.6
55,0.0,93.0,2,2,2.0,3.0,1176.0,0,0,2,2.0,0.0,0.81
56,0.0,60.0,3,3,4.0,4.0,2617.0,0,0,1,1.0,1.0,5.6
57,0.0,85.0,2,2,3.0,3.0,1300.0,0,1,1,0.0,0.0,1.5
58,0.0,44.0,3,3,3.0,3.0,1639.0,0,0,1,2.0,2.0,1.45
59,0.0,10.0,3,4,3.0,0.0,1771.32,0,0,2,2.0,2.0,1.65
60,0.0,59.0,1,1,0.0,0.0,513.0,0,0,2,1.0,1.0,0.45
61,0.0,18.0,2,2,1.0,0.0,737.0,0,0,1,1.0,1.0,0.35
62,1.0,50.0,4,4,2.0,4.0,2430.0,1,1,0,0.0,2.0,5.75
63,0.0,97.0,2,2,3.0,3.0,1485.0,0,0,1,1.0,2.0,1.12
64,0.0,41.0,2,2,2.0,3.0,856.0,0,0,1,1.0,2.0,0.75
65,0.0,101.0,1,1,1.0,1.0,430.0,0,0,1,2.0,2.0,0.25
67,1.0,47.0,3,2,1.0,0.0,783.0,0,0,1,1.0,1.0,0.67
68,0.0,25.0,1,1,2.0,0.0,723.0,0,0,1,2.0,2.0,0.56
69,0.0,81.0,3,4,4.0,3.0,1706.0,0,0,0,1.0,0.0,1.75
70,1.0,20.0,5,4,2.0,2.0,2250.0,0,0,2,2.0,1.0,4.15
